prov_id,prov_nm,city_id,city_nm,city_tag,city_lng,city_lat
11,北京,1101,北京辖区,北京,,
11,北京,1102,北京辖县,北京,,
12,天津,1201,天津辖区,天津,,
12,天津,1202,天津辖县,天津,,
13,河北,1300,河北,河北,,
13,河北,1301,石家庄,石家庄,,
13,河北,1302,唐山,唐山,,
13,河北,1303,秦皇岛,秦皇岛,,
13,河北,1304,邯郸,邯郸,,
13,河北,1305,邢台,邢台,,
13,河北,1306,保定,保定,,
13,河北,1307,张家口,张家口,,
13,河北,1308,承德,承德,,
13,河北,1309,沧州,沧州,,
13,河北,1310,廊坊,廊坊,,
13,河北,1311,衡水,衡水,,
14,山西,1401,太原,太原,,
14,山西,1402,大同,大同,,
14,山西,1403,阳泉,阳泉,,
14,山西,1404,长治,长治,,
14,山西,1405,晋城,晋城,,
14,山西,1406,晋城辖县,晋城,,
14,山西,1411,吕梁,吕梁,,
14,山西,1421,雁北,雁北,,
14,山西,1437,山西,山西,,
14,山西,1490,古交,古交,,
14,山西,1422,忻州,忻州,,
14,山西,1423,忻州辖县,忻州,,
14,山西,1424,晋中,晋中,,
14,山西,1426,临汾,临汾,,
14,山西,1427,运城,运城,,
15,内蒙,1501,呼和浩特,呼和浩特,,
15,内蒙,1502,包头,包头,,
15,内蒙,1503,乌海,乌海,,
15,内蒙,1504,赤峰,赤峰,,
15,内蒙,1505,通辽,通辽,,
15,内蒙,1507,呼伦贝尔,呼伦贝尔,,
15,内蒙,1508,巴彦淖尔,巴彦淖尔,,
15,内蒙,1521,呼伦贝尔盟,呼伦贝尔盟,,
15,内蒙,1522,兴安盟,兴安盟,,
15,内蒙,1523,哲里木盟,哲里木盟,,
15,内蒙,1525,锡林郭勒盟,锡林郭勒盟,,
15,内蒙,1526,乌兰察布盟,乌兰察布盟,,
15,内蒙,1527,伊克昭盟,伊克昭盟,,
15,内蒙,1528,巴彦淖尔盟,巴彦淖尔盟,,
15,内蒙,1529,阿拉善盟,阿拉善盟,,
21,辽宁,2101,沈阳,沈阳,,
21,辽宁,2102,大连,大连,,
21,辽宁,2103,鞍山,鞍山,,
21,辽宁,2104,抚顺,抚顺,,
21,辽宁,2105,本溪,本溪,,
21,辽宁,2106,丹东,丹东,,
21,辽宁,2107,锦州,锦州,,
21,辽宁,2108,营口,营口,,
21,辽宁,2109,阜新,阜新,,
21,辽宁,2110,辽阳,辽阳,,
21,辽宁,2111,盘锦,盘锦,,
21,辽宁,2112,铁岭,铁岭,,
21,辽宁,2113,朝阳,朝阳,,
21,辽宁,2114,葫芦岛,葫芦岛,,
22,吉林,2201,长春,长春,,
22,吉林,2202,吉林,吉林,,
22,吉林,2203,四平,四平,,
22,吉林,2204,辽源,辽源,,
22,吉林,2205,通化,通化,,
22,吉林,2206,白山,白山,,
22,吉林,2207,松原,松原,,
22,吉林,2208,白城,白城,,
22,吉林,2224,延边,延边,,
22,吉林,2290,梅河口,梅河口,,
23,黑龙江,2301,哈尔滨,哈尔滨,,
23,黑龙江,2302,齐齐哈尔,齐齐哈尔,,
23,黑龙江,2303,鸡西,鸡西,,
23,黑龙江,2304,鹤岗,鹤岗,,
23,黑龙江,2305,双鸭山,双鸭山,,
23,黑龙,2306,大庆,大庆,,
23,黑龙江,2307,伊春,伊春,,
23,黑龙江,2308,佳木斯,佳木斯,,
23,黑龙江,2309,七台河,七台河,,
23,黑龙江,2310,牡丹江,牡丹江,,
23,黑龙江,2311,黑河,黑河,,
23,黑龙江,2323,绥化,绥化,,
23,黑龙江,2327,大兴安岭,大兴安岭,,
31,上海,3101,上海辖区,上海,,
31,上海,3102,上海辖县,上海,,
32,江苏,3201,南京,南京,,
32,江苏,3202,无锡,无锡,,
32,江苏,3203,徐州,徐州,,
32,江苏,3204,常州,常州,,
32,江苏,3205,苏州,苏州,,
32,江苏,3206,南通,南通,,
32,江苏,3207,连云港,连云港,,
32,江苏,3208,淮阴,淮阴,,
32,江苏,3209,盐城,盐城,,
32,江苏,3210,扬州,扬州,,
32,江苏,3211,镇江,镇江,,
32,江苏,3212,泰州,泰州,,
32,江苏,3213,宿迁,宿迁,,
33,浙江,3301,杭州,杭州,,
33,浙江,3302,宁波,宁波,,
33,浙江,3303,温州,温州,,
33,浙江,3304,嘉兴,嘉兴,,
33,浙江,3305,湖州,湖州,,
33,浙江,3306,绍兴,绍兴,,
33,浙江,3307,金华,金华,,
33,浙江,3308,衢州,衢州,,
33,浙江,3309,舟山,舟山,,
33,浙江,3310,台州,台州,,
33,浙江,3325,丽水,丽水,,
34,安徽,3401,合肥,合肥,,
34,安徽,3402,芜湖,芜湖,,
34,安徽,3403,蚌埠,蚌埠,,
34,安徽,3404,淮南,淮南,,
34,安徽,3405,马鞍山,马鞍山,,
34,安徽,3406,淮北,淮北,,
34,安徽,3407,铜陵,铜陵,,
34,安徽,3408,安庆,安庆,,
34,安徽,3410,黄山,黄山,,
34,安徽,3411,滁州,滁州,,
34,安徽,3412,阜阳,阜阳,,
34,安徽,3416,亳州,亳州,,
34,安徽,3413,宿州,宿州,,
34,安徽,3424,六安,六安,,
34,安徽,3425,宣城,宣城,,
34,安徽,3426,巢湖,巢湖,,
34,安徽,3429,池州,池州,,
35,福建,3501,福州,福州,,
35,福建,3502,厦门,厦门,,
35,福建,3503,莆田,莆田,,
35,福建,3504,三明,三明,,
35,福建,3505,泉州,泉州,,
35,福建,3506,漳州,漳州,,
35,福建,3507,南平,南平,,
35,福建,3508,龙岩,龙岩,,
35,福建,3522,宁德,宁德,,
36,江西,3601,南昌,南昌,,
36,江西,3602,景德镇,景德镇,,
36,江西,3603,萍乡,萍乡,,
36,江西,3604,九江,九江,,
36,江西,3605,新余,新余,,
36,江西,3606,鹰潭,鹰潭,,
36,江西,3607,赣州,赣州,,
36,江西,3622,宜春,宜春,,
36,江西,3623,上饶,上饶,,
36,江西,3624,吉安,吉安,,
36,江西,3625,抚州,抚州,,
37,山东,3701,济南,济南,,
37,山东,3702,青岛,青岛,,
37,山东,3703,淄博,淄博,,
37,山东,3704,枣庄,枣庄,,
37,山东,3705,东营,东营,,
37,山东,3706,烟台,烟台,,
37,山东,3707,潍坊,潍坊,,
37,山东,3708,济宁,济宁,,
37,山东,3709,泰安,泰安,,
37,山东,3710,威海,威海,,
37,山东,3711,日照,日照,,
37,山东,3712,莱芜,莱芜,,
37,山东,3713,临沂,临沂,,
37,山东,3714,德州,德州,,
37,山东,3715,聊城,聊城,,
37,山东,3723,滨州,滨州,,
37,山东,3729,菏泽,菏泽,,
41,河南,4101,郑州,郑州,,
41,河南,4102,开封,开封,,
41,河南,4103,洛阳,洛阳,,
41,河南,4104,平顶山,平顶山,,
41,河南,4105,安阳,安阳,,
41,河南,4106,鹤壁,鹤壁,,
41,河南,4107,新乡,新乡,,
41,河南,4108,焦作,焦作,,
41,河南,4109,濮阳,濮阳,,
41,河南,4110,许昌,许昌,,
41,河南,4111,漯河,漯河,,
41,河南,4112,三门峡,三门峡,,
41,河南,4113,南阳,南阳,,
41,河南,4114,商丘,商丘,,
41,河南,4115,信阳,信阳,,
41,河南,4127,周口,周口,,
41,河南,4128,驻马店,驻马店,,
42,湖北,4201,武汉,武汉,,
42,湖北,4202,黄石,黄石,,
42,湖北,4203,十堰,十堰,,
42,湖北,4205,宜昌,宜昌,,
42,湖北,4206,襄樊,襄樊,,
42,湖北,4207,鄂州,鄂州,,
42,湖北,4208,荆门,荆门,,
42,湖北,4209,孝感,孝感,,
42,湖北,4210,荆州,荆州,,
42,湖北,4211,黄冈,黄冈,,
42,湖北,4212,咸宁,咸宁,,
42,湖北,4228,施土,施土,,
42,湖北,4290,随州,随州,,
43,湖南,4301,长沙,长沙,,
43,湖南,4302,株洲,株洲,,
43,湖南,4303,湘潭,湘潭,,
43,湖南,4304,衡阳,衡阳,,
43,湖南,4305,邵阳,邵阳,,
43,湖南,4306,岳阳,岳阳,,
43,湖南,4307,常德,常德,,
43,湖南,4308,张家界,张家界,,
43,湖南,4309,益阳,益阳,,
43,湖南,4310,郴州,郴州,,
43,湖南,4311,永州,永州,,
43,湖南,4312,怀化,怀化,,
43,湖南,4325,娄底,娄底,,
43,湖南,4330,怀化辖县,怀化,,
43,湖南,4331,湘西,湘西,,
44,广东,4401,广州,广州,,
44,广东,4402,韶关,韶关,,
44,广东,4403,深圳,深圳,,
44,广东,4404,珠海,珠海,,
44,广东,4405,汕头,汕头,,
44,广东,4406,佛山,佛山,,
44,广东,4407,江门,江门,,
44,广东,4408,湛江,湛江,,
44,广东,4409,茂名,茂名,,
44,广东,4412,肇庆,肇庆,,
44,广东,4413,惠州,惠州,,
44,广东,4414,梅州,梅州,,
44,广东,4415,汕尾,汕尾,,
44,广东,4416,河源,河源,,
44,广东,4417,阳江,阳江,,
44,广东,4418,清远,清远,,
44,广东,4419,东莞,东莞,,
44,广东,4420,中山,中山,,
44,广东,4451,潮州,潮州,,
44,广东,4452,揭阳,揭阳,,
44,广东,4453,云浮,云浮,,
45,广西,4501,南宁,南宁,,
45,广西,4502,柳州,柳州,,
45,广西,4503,桂林,桂林,,
45,广西,4504,梧州,梧州,,
45,广西,4505,北海,北海,,
45,广西,4506,防城港,防城港,,
45,广西,4507,钦州,钦州,,
45,广西,4508,贵港,贵港,,
45,广西,4509,玉林,玉林,,
45,广西,4521,南宁辖县,南宁,,
45,广西,4522,柳州辖县,柳州,,
45,广西,4524,贺州,贺州,,
45,广西,4526,百色,百色,,
45,广西,4527,河池,河池,,
46,海南,4600,海口,海口,,
46,海南,4601,海口,海口,,
46,海南,4602,三亚,三亚,,
50,重庆,5001,重庆辖区,重庆,,
50,重庆,5002,重庆辖县,重庆,,
50,重庆,5003,江津市,江津市,,
51,四川,5101,成都,成都,,
51,四川,5103,自贡,自贡,,
51,四川,5104,攀枝花,攀枝花,,
51,四川,5105,泸州,泸州,,
51,四川,5106,德阳,德阳,,
51,四川,5107,绵阳,绵阳,,
51,四川,5108,广元,广元,,
51,四川,5109,遂宁,遂宁,,
51,四川,5110,内江,内江,,
51,四川,5111,乐山,乐山,,
51,四川,5113,南充,南充,,
51,四川,5115,宜宾,宜宾,,
51,四川,5116,广安,广安,,
51,四川,5130,达川,达川,,
51,四川,5131,雅安,雅安,,
51,四川,5132,阿坝,阿坝,,
51,四川,5133,甘孜,甘孜,,
51,四川,5134,凉山,凉山,,
51,四川,5137,巴中,巴中,,
51,四川,5138,眉山,眉山,,
51,四川,5139,眉山辖县,眉山,,
52,贵州,5201,贵阳,贵阳,,
52,贵州,5202,六盘水,六盘水,,
52,贵州,5203,遵义,遵义,,
52,贵州,5222,铜仁,铜仁,,
52,贵州,5223,黔西,黔西,,
52,贵州,5224,毕节,毕节,,
52,贵州,5225,安顺,安顺,,
52,贵州,5226,黔东,黔东,,
52,贵州,5227,黔南,黔南,,
53,云南,5301,昆明,昆明,,
53,云南,5303,曲靖,曲靖,,
53,云南,5304,玉溪,玉溪,,
53,云南,5321,昭通,昭通,,
53,云南,5323,楚雄,楚雄,,
53,云南,5325,红河,红河,,
53,云南,5326,文山,文山,,
53,云南,5327,思茅,思茅,,
53,云南,5328,西双版,西双版,,
53,云南,5329,大理,大理,,
53,云南,5330,保山,保山,,
53,云南,5331,德宏,德宏,,
53,云南,5332,丽江,丽江,,
53,云南,5333,怒江,怒江,,
53,云南,5334,迪庆,迪庆,,
53,云南,5335,临沧,临沧,,
54,西藏,5401,拉萨,拉萨,,
54,西藏,5421,昌都,昌都,,
54,西藏,5422,山南,山南,,
54,西藏,5423,日喀则,日喀则,,
54,西藏,5424,那曲,那曲,,
54,西藏,5425,阿里,阿里,,
54,西藏,5426,林芝,林芝,,
61,陕西,6101,西安,西安,,
61,陕西,6102,铜川,铜川,,
61,陕西,6103,宝鸡,宝鸡,,
61,陕西,6104,咸阳,咸阳,,
61,陕西,6105,渭南,渭南,,
61,陕西,6106,延安,延安,,
61,陕西,6107,汉中,汉中,,
61,陕西,6124,安康,安康,,
61,陕西,6125,商洛,商洛,,
61,陕西,6127,榆林,榆林,,
62,甘肃,6201,兰州,兰州,,
62,甘肃,6202,嘉峪关,嘉峪关,,
62,甘肃,6203,嘉峪关辖县,嘉峪关,,
62,甘肃,6204,白银,白银,,
62,甘肃,6205,天水,天水,,
62,甘肃,6221,酒泉,酒泉,,
62,甘肃,6222,张掖,张掖,,
62,甘肃,6223,武威,武威,,
62,甘肃,6224,定西,定西,,
62,甘肃,6226,陇南,陇南,,
62,甘肃,6227,平凉,平凉,,
62,甘肃,6228,庆阳,庆阳,,
62,甘肃,6229,临夏,临夏,,
62,甘肃,6230,甘南,甘南,,
63,青海,6301,西宁,西宁,,
63,青海,6321,海东,海东,,
63,青海,6322,海北,海北,,
63,青海,6323,黄南,黄南,,
63,青海,6325,海南,海南,,
63,青海,6326,果洛,果洛,,
63,青海,6327,玉树,玉树,,
63,青海,6328,海西,海西,,
64,宁夏,6401,银川,银川,,
64,宁夏,6402,石嘴山,石嘴山,,
64,宁夏,6403,吴忠,吴忠,,
64,宁夏,6422,固原,固原,,
65,新疆,6501,乌鲁木齐,乌鲁木齐,,
65,新疆,6502,克拉玛依,克拉玛依,,
65,新疆,6521,吐鲁番,吐鲁番,,
65,新疆,6522,哈密,哈密,,
65,新疆,6523,昌吉,昌吉,,
65,新疆,6527,博尔,博尔,,
65,新疆,6528,巴音,巴音,,
65,新疆,6529,阿克苏,阿克苏,,
65,新疆,6530,克孜,克孜,,
65,新疆,6531,喀什,喀什,,
65,新疆,6532,和田,和田,,
65,新疆,6540,伊犁,伊犁,,
65,新疆,6541,伊犁哈萨克,伊犁哈萨克,,
65,新疆,6542,塔城,塔城,,
65,新疆,6543,阿勒泰,阿勒泰,,
65,新疆,6590,石河子,石河子,,
71,台湾,7100,台湾,台湾,,
81,香港,8100,香港,香港,,
82,澳门,8200,澳门,澳门,,
99,国外,9900,国外,国外,,